Date	Name	Email	Mobile	MovieID	Day	Hour	STA Qty	STP Qty	STC Qty	FCA Qty	FCP Qty	FCC Qty	Total
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	3	4	3	$331.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	1	2	1	$196.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	1	2	1	$196.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	3	5	2	2	2	$241.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	1	2	2	2	2	$183.50
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	1	2	2	2	2	$183.50
2019-10-26													$0.00
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	1	2	2	2	2	$183.50
2019-10-26													$0.00
2019-10-26	z	z@s.c	0422802407	AHF	WED	T12	1	1	2	2	2	2	$183.50
